lat,lon,temp_c,humidity,pressure_mb,windspeed_kph,aqi_index,pm2_5,pm10,co,no2
28.5273,77.2618,7.3,100,990.8,9.0,203,168.1,170.0,1297,46.3
28.5273,77.2618,8.4,100,991.8,5.2,204,152.7,155.1,1372,42.2
28.5273,77.2618,8.4,100,992.2,5.2,204,145.8,148.1,1474,36.3
28.5273,77.2618,8.8,98,992.7,8.1,203,136.0,138.8,1515,31.2
28.5273,77.2618,9.7,95,993.2,9.3,202,133.6,136.0,1440,27.7
28.5273,77.2618,12.1,84,993.4,9.4,202,128.1,130.9,1305,24.9
28.5273,77.2618,13.6,80,993.0,7.8,203,120.6,123.9,1188,22.2
28.5273,77.2618,14.9,75,991.8,7.2,204,112.2,115.3,1093,18.2
28.5273,77.2618,16.0,72,990.7,6.2,204,103.8,107.1,1017,14.4
28.5273,77.2618,16.8,69,989.8,6.6,205,96.2,99.4,1022,14.8
28.5273,77.2618,17.0,69,989.5,7.0,205,92.4,95.5,1177,22.5
28.5273,77.2618,16.5,72,989.4,6.7,205,93.4,95.9,1413,34.3
28.5273,77.2618,14.9,80,989.4,5.6,205,149.0,152.7,1595,61.5
28.5273,77.2618,12.1,88,991.1,3.6,205,162.5,165.8,1666,64.2
28.5273,77.2618,11.5,90,991.3,4.2,204,165.8,169.0,1683,67.7
28.5273,77.2618,11.2,91,991.8,4.5,202,167.6,170.4,1673,68.6
28.5273,77.2618,11.1,91,991.9,5.8,200,168.6,171.8,1642,65.4
28.5273,77.2618,10.8,92,991.6,6.6,199,170.9,174.2,1586,59.7
28.5273,77.2618,10.4,93,991.3,7.1,198,170.4,173.2,1519,52.6
28.7041,77.1025,7.4,100,993.3,3.6,197,185.8,188.6,1887,56.7
28.7041,77.1025,7.3,100,992.8,3.3,198,174.6,177.4,1707,44.8
28.7041,77.1025,7.0,99,992.3,4.1,199,164.4,166.7,1562,34.6
28.7041,77.1025,7.2,99,992.1,5.2,200,156.5,158.8,1470,26.7
28.7041,77.1025,6.9,100,991.8,6.1,200,149.5,151.8,1413,20.6
28.7041,77.1025,7.2,99,991.9,6.7,201,156.5,158.3,1385,33.3
28.7041,77.1025,7.2,100,992.7,4.5,201,144.4,146.2,1414,31.4
28.7041,77.1025,7.1,100,993.0,5.2,201,138.3,140.6,1472,28.7
28.7041,77.1025,7.8,100,993.7,6.8,200,136.4,138.8,1473,26.0
28.7041,77.1025,8.8,97,994.3,8.6,200,141.1,143.0,1357,23.3
28.7041,77.1025,10.8,89,994.5,9.1,200,129.9,132.2,1184,20.5
28.7041,77.1025,13.2,81,994.0,8.2,200,122.5,125.3,1045,18.2
28.7041,77.1025,15.1,75,992.8,7.0,200,115.5,118.3,959,15.4
28.7041,77.1025,16.2,71,991.5,7.2,200,108.7,111.8,907,13.1
28.7041,77.1025,17.0,68,990.7,7.8,201,103.6,106.6,920,14.1
28.7041,77.1025,17.0,67,990.4,8.3,201,99.4,102.7,1040,21.0
28.7041,77.1025,16.5,71,990.4,7.0,201,100.4,102.9,1224,31.3
28.7041,77.1025,14.8,79,990.4,6.3,202,148.5,151.8,1378,52.6
28.7041,77.1025,11.8,87,992.0,3.4,202,157.4,160.7,1471,55.0
28.7041,77.1025,10.6,92,992.4,4.3,201,162.1,165.3,1534,58.0
28.7041,77.1025,9.9,94,992.7,4.6,200,167.6,170.4,1562,58.6
28.7041,77.1025,9.4,95,992.9,4.8,199,171.8,174.6,1544,55.1
28.7041,77.1025,9.1,97,992.5,5.0,198,175.1,178.3,1491,49.2
28.7041,77.1025,8.9,97,992.2,5.6,198,174.2,177.0,1434,42.6
28.5562,77.1,8.0,100,991.6,2.8,197,193.7,197.0,1688,74.2
28.5562,77.1,7.8,100,991.1,3.0,198,180.7,183.9,1594,58.6
28.5562,77.1,7.2,100,990.7,3.8,199,167.6,170.4,1512,45.0
28.5562,77.1,7.0,100,990.5,4.7,201,153.2,156.0,1439,33.8
28.5562,77.1,7.0,99,990.3,5.6,202,141.6,144.4,1378,24.6
28.5562,77.1,7.3,99,990.3,6.5,203,168.1,170.0,1348,46.3
28.5562,77.1,7.7,96,991.1,3.3,204,152.7,155.1,1386,42.2
28.5562,77.1,7.9,96,991.6,4.8,204,145.8,148.1,1455,36.3
28.5562,77.1,8.4,92,992.2,5.9,203,136.0,138.8,1467,31.2
28.5562,77.1,9.1,96,992.7,8.7,202,133.6,136.0,1364,27.7
28.5562,77.1,10.6,92,992.9,9.0,202,128.1,130.9,1203,24.9
28.5562,77.1,12.9,81,992.4,9.0,203,120.6,123.9,1068,22.2
28.5562,77.1,14.6,77,991.2,6.8,204,112.2,115.3,973,18.2
28.5562,77.1,15.9,73,990.1,6.8,204,103.8,107.1,904,14.4
28.5562,77.1,16.6,70,989.2,7.3,205,96.2,99.4,906,14.8
28.5562,77.1,16.8,70,988.9,8.0,205,92.4,95.5,1031,22.5
28.5562,77.1,16.2,72,988.8,7.1,205,93.4,95.9,1226,34.3
28.5562,77.1,14.5,80,988.9,6.3,205,149.0,152.7,1380,61.5
28.5562,77.1,12.1,86,990.4,3.3,205,162.5,165.8,1443,64.2
28.5562,77.1,11.4,89,990.7,4.6,204,165.8,169.0,1464,67.7
28.5562,77.1,10.6,91,991.1,4.6,202,167.6,170.4,1476,68.6
28.5562,77.1,10.2,93,991.3,5.0,200,168.6,171.8,1495,65.4
28.5562,77.1,9.9,94,991.0,5.4,199,170.9,174.2,1504,59.7
28.5562,77.1,9.6,95,990.6,6.0,198,170.4,173.2,1488,52.6
28.6469,77.316,9.3,96,993.5,5.9,197,167.6,170.4,1469,35.3
28.6469,77.316,8.9,97,992.8,5.3,197,163.0,165.8,1373,27.3
28.6469,77.316,8.7,97,992.5,6.2,197,157.9,160.7,1306,21.0
28.6469,77.316,8.4,98,992.4,7.3,196,151.8,154.6,1263,17.0
28.6469,77.316,8.4,98,992.2,7.8,196,146.7,149.5,1248,14.6
28.6469,77.316,8.8,98,992.5,8.9,196,147.1,149.9,1298,15.3
28.6469,77.316,8.6,98,993.4,7.8,196,143.4,146.7,1479,19.6
28.6469,77.316,8.5,98,993.7,7.6,196,146.7,150.4,1725,25.4
28.6469,77.316,9.7,95,994.6,9.0,196,148.1,151.8,1865,28.4
28.6469,77.316,11.6,90,995.5,6.3,196,149.5,152.7,1804,26.2
28.6469,77.316,13.4,83,995.7,5.5,197,139.2,143.9,1638,21.2
28.6469,77.316,15.1,77,995.2,5.4,197,129.5,134.6,1488,17.0
28.6469,77.316,16.5,73,994.3,6.0,197,118.5,123.9,1358,13.7
28.6469,77.316,17.6,69,993.4,6.7,197,107.1,112.9,1244,11.2
28.6469,77.316,18.3,66,992.7,7.6,197,100.4,105.7,1253,12.5
28.6469,77.316,18.4,66,992.6,7.9,197,97.8,102.4,1486,20.6
28.6469,77.316,17.9,71,992.7,5.7,197,100.8,104.3,1842,32.6
28.6304,77.2177,8.9,96,991.9,4.7,197,167.6,170.4,1427,35.3
28.6304,77.2177,8.6,97,991.3,4.6,197,163.0,165.8,1335,27.3
28.6304,77.2177,8.4,97,991.0,5.4,197,157.9,160.7,1271,21.0
28.6304,77.2177,8.5,97,990.9,7.0,196,151.8,154.6,1242,17.0
28.6304,77.2177,8.3,97,990.7,7.8,196,146.7,149.5,1241,14.6
28.6304,77.2177,8.6,98,991.0,9.1,196,147.1,149.9,1288,15.3
28.6304,77.2177,8.4,98,991.9,7.5,196,143.4,146.7,1433,19.6
28.6304,77.2177,8.4,97,992.3,7.0,196,146.7,150.4,1625,25.4
28.6304,77.2177,9.8,93,993.2,9.6,196,148.1,151.8,1732,28.4
28.6304,77.2177,11.5,90,994.0,6.6,196,149.5,152.7,1677,26.2
28.6304,77.2177,13.3,84,994.3,5.6,197,139.2,143.9,1535,21.2
28.6304,77.2177,15.1,78,993.8,5.5,197,129.5,134.6,1404,17.0
28.6304,77.2177,16.5,72,992.9,6.4,197,118.5,123.9,1283,13.7
28.6304,77.2177,17.6,68,992.0,7.0,197,107.1,112.9,1173,11.2
28.6304,77.2177,18.2,65,991.3,7.6,197,100.4,105.7,1165,12.5
28.6304,77.2177,18.3,65,991.2,7.9,197,97.8,102.4,1344,20.6
28.6304,77.2177,17.8,70,991.3,5.4,197,100.8,104.3,1626,32.6
28.6304,77.2177,15.8,79,991.1,4.6,197,131.3,136.4,1855,50.7
28.6304,77.2177,13.7,81,992.2,3.1,197,144.4,148.5,1969,55.9
28.5882,77.0494,9.1,96,992.6,5.6,197,162.5,165.3,1451,43.5
28.5882,77.0494,7.8,98,991.9,4.9,196,154.6,157.9,1364,33.1
28.5882,77.0494,7.8,98,991.6,5.7,196,147.1,150.4,1298,24.6
28.5882,77.0494,7.9,99,991.6,7.2,195,139.7,142.5,1265,18.8
28.5882,77.0494,8.0,99,991.5,8.7,195,132.7,136.0,1253,14.9
28.5882,77.0494,8.3,98,991.7,9.6,195,135.0,138.3,1279,15.4
28.5882,77.0494,8.2,99,992.5,7.6,194,131.3,135.0,1389,20.7
28.5882,77.0494,8.2,98,993.0,7.4,194,138.8,142.5,1538,27.7
28.5882,77.0494,9.4,96,993.9,9.4,193,143.4,147.6,1608,31.6
28.5882,77.0494,11.2,92,994.7,7.0,194,146.2,149.9,1528,29.3
28.5882,77.0494,13.2,84,995.0,6.5,194,136.0,141.1,1369,23.9
28.5882,77.0494,15.0,77,994.5,6.9,194,126.2,131.8,1229,19.1
28.5882,77.0494,16.5,71,993.7,8.1,194,114.3,120.6,1124,15.0
